genus	num	p	r
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Mariniflexile	284	0.0478568177161011	-0.447536699569417
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Olleya	57	0.0287720300549961	-0.488721804511278
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Polaribacter	596	0.0134996108903358	-0.542309177125294
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Psychroflexus	20	0.00152009421323607	-0.660647290105762
d_Bacteria|p_Bacteroidetes|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Urechidicola	65	0.042072823711689	-0.458412034770399
d_Bacteria|p_Caldiserica|c_Caldisericia|o_Caldisericales|f_Caldisericaceae|g_Caldisericum	14	0.00124491173819067	-0.669445172187881
d_Bacteria|p_Candidatus Bipolaricaulota|g_Candidatus Bipolaricaulis	41	0.000125211195590944	-0.753481850254794
d_Bacteria|p_Chlamydiae|c_Chlamydiia|o_Parachlamydiales|f_Parachlamydiaceae|g_Candidatus Protochlamydia	200	0.0248955065471251	-0.499623918713242
d_Bacteria|p_Chlamydiae|c_Chlamydiia|o_Parachlamydiales|f_Simkaniaceae|g_Simkania	8	0.0377969125788451	-0.467220485604401
d_Bacteria|p_Chloroflexi|c_Chloroflexia|o_Chloroflexales|f_Roseiflexaceae|g_Roseiflexus	167	0.0465166878605613	-0.449962505106203
d_Bacteria|p_Chloroflexi|c_Dehalococcoidia|o_Dehalococcoidales|f_Dehalococcoidaceae|g_Dehalococcoides	1133	0.0049339776204652	-0.602482178748072
d_Bacteria|p_Chloroflexi|c_Thermomicrobia|o_Thermomicrobiales|f_Thermomicrobiaceae|g_Thermomicrobium	24	0.0197415173360633	-0.516425743525399
d_Bacteria|p_Chrysiogenetes|c_Chrysiogenetes|o_Chrysiogenales|f_Chrysiogenaceae|g_Desulfurispirillum	170	0.0163940847312944	-0.529323308270677
d_Bacteria|p_Cyanobacteria|o_Chroococcales|f_Aphanothecaceae|g_Candidatus Atelocyanobacterium	32	0.0409996824533064	-0.460555122149844
d_Bacteria|p_Cyanobacteria|o_Chroococcales|f_Aphanothecaceae|g_Crocosphaera	20	0.0458529839012391	-0.451183824997213
d_Bacteria|p_Cyanobacteria|o_Chroococcales|f_Chroococcaceae|g_Geminocystis	168	0.0131928341058925	-0.543813502165863
d_Bacteria|p_Cyanobacteria|o_Chroococcales|f_Cyanobacteriaceae|g_Cyanobacterium	73	0.0294328646330461	-0.486980416043687
d_Bacteria|p_Cyanobacteria|o_Gloeoemargaritales|f_Gloeomargaritaceae|g_Gloeomargarita	341	0.040457634341481	-0.461654135338346
